,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
1612,L,BIO,G4,SRJN,LL,PNS,21.0,21.0,2.57,2.57,IPK_M
2112,P,IF,G3,SMTA,LL,PS,20.0,20.0,3.9,3.6,IPK_CUM
1755,P,BIO,G4,SRJN,BPN,PNS,22.0,21.0,2.91,3.0,IPK_SM
380,P,FISIKA,G1,SRJN,GRD,LL,20.0,22.0,3.35,3.55,IPK_SM
263,L,FISIKA,G3,SD,PDG,PDG,18.0,19.0,2.5,2.84,IPK_SM
1371,L,BIO,G3,SMTA,PDG,PNS,21.0,21.0,2.51,2.24,IPK_SM
994,P,MTK,G3,SMTA,PDG,LL,21.0,18.0,3.0,3.33,IPK_SM
1669,P,BIO,G2,SD,BPN,BPN,21.0,21.0,3.0,2.71,IPK_SM
1119,P,MTK,G2,SD,LL,PDG,21.0,19.0,3.29,3.63,IPK_CUM
1832,L,IF,G2,SD,BPN,BPN,19.0,18.0,3.11,2.61,IPK_SM
1057,L,MTK,G2,SRJN,PSN,LL,21.0,22.0,3.05,3.27,IPK_SM
1390,P,BIO,G2,SMP,PS,PNS,21.0,21.0,3.43,3.24,IPK_SM
1484,P,BIO,G2,SMTA,PS,BPN,21.0,23.0,3.38,3.13,IPK_SM
700,P,MTK,G2,SRJN,GRD,BPN,19.0,17.0,1.98,1.5,IPK_M
1095,L,MTK,G3,SRJN,PNS,GRD,21.0,22.0,3.0,3.14,IPK_SM
1478,L,BIO,G1,SD,BPN,BPN,21.0,21.0,2.33,1.62,IPK_SM
1547,P,BIO,G4,SRJN,PDG,PNS,21.0,21.0,2.86,3.38,IPK_SM
2021,P,IF,G4,SRJN,GRD,GRD,20.0,20.0,3.45,3.45,IPK_SM
1951,L,IF,G3,SD,PDG,PNS,19.0,20.0,2.79,2.6,IPK_M
1828,L,IF,G3,SMTA,GRD,LL,19.0,18.0,2.79,2.33,IPK_M
1995,P,IF,G1,SD,LL,PDG,19.0,20.0,3.84,3.65,IPK_CUM
990,P,MTK,G3,SMP,LL,BPN,21.0,18.0,2.81,2.78,IPK_M
1000,P,MTK,G1,SD,BPN,BPN,21.0,18.0,3.0,3.67,IPK_SM
275,P,FISIKA,G4,SMTA,LL,PNS,18.0,19.0,3.11,2.79,IPK_SM
217,P,FISIKA,G3,SRJN,GRD,GRD,18.0,19.0,2.89,3.16,IPK_SM
1148,P,MTK,G6,SMP,PDG,PS,21.0,19.0,3.1,2.79,IPK_SM
451,P,FISIKA,G4,SRJN,GRD,PNS,19.0,24.0,3.21,3.33,IPK_CUM
1919,L,IF,G4,SMP,PDG,PDG,19.0,18.0,2.58,2.67,IPK_SM
835,P,MTK,G3,SMTA,LL,PSN,21.0,18.0,2.1,2.44,IPK_M
339,P,FISIKA,G3,SMP,LL,PNS,20.0,23.0,3.4,3.13,IPK_SM
1020,P,MTK,G3,SMTA,PDG,PDG,21.0,18.0,2.57,2.83,IPK_SM
1996,P,IF,G3,SMTA,PDG,PS,19.0,20.0,3.26,3.1,IPK_SM
361,P,FISIKA,G4,SMP,PDG,LL,20.0,20.0,2.85,2.5,IPK_SM
992,L,MTK,G3,SMP,LL,PDG,21.0,18.0,3.05,2.94,IPK_SM
680,L,MTK,G3,SD,LL,GRD,19.0,17.0,1.79,1.62,IPK_KM
1041,L,MTK,G2,LL,LL,BPN,21.0,19.0,2.43,2.74,IPK_SM
862,P,MTK,G2,SD,BPN,BPN,21.0,18.0,3.33,2.61,IPK_SM
1502,L,BIO,G4,SMTA,LL,PDG,21.0,21.0,2.29,2.1,IPK_SM
1732,P,BIO,G3,SMTA,LL,PS,22.0,21.0,2.77,2.81,IPK_SM
983,P,MTK,G2,SD,PDG,BPN,21.0,18.0,3.19,3.06,IPK_SM
229,P,FISIKA,G4,SMP,BPN,GRD,18.0,17.0,1.61,2.0,IPK_M
246,L,FISIKA,G3,SMP,LL,PNS,18.0,19.0,2.72,2.47,IPK_M
1106,P,MTK,G3,SMTA,PS,PS,21.0,19.0,3.05,3.37,IPK_CUM
1303,L,BIO,G4,SRJN,LL,PSN,21.0,24.0,3.48,3.7,IPK_CUM
1695,L,BIO,G4,SRJN,LL,PS,21.0,19.0,2.76,3.0,IPK_SM
2131,L,IF,G3,SRJN,GRD,BPN,20.0,20.0,3.75,3.8,IPK_CUM
1419,P,BIO,G3,SMTA,LL,PNS,21.0,21.0,2.57,3.05,IPK_SM
1096,P,MTK,G6,SMTA,PDG,PDG,21.0,22.0,3.62,3.41,IPK_SM
987,P,MTK,G4,SRJN,GRD,PNS,21.0,18.0,2.43,2.72,IPK_SM
748,P,MTK,G2,LL,BPN,PSN,21.0,18.0,2.62,2.61,IPK_SM
880,P,MTK,G2,SMTA,PDG,GRD,21.0,18.0,2.1,1.94,IPK_KM
364,L,FISIKA,G4,SRJN,GRD,PNS,20.0,19.0,2.35,3.26,IPK_SM
1451,P,BIO,G3,SRJN,PNS,LL,21.0,21.0,2.95,3.43,IPK_CUM
110,P,FISIKA,G2,SMTA,GRD,GRD,18.0,17.0,2.16,2.38,IPK_M
730,P,MTK,G2,SMTA,LL,PNS,18.0,18.0,2.99,2.42,IPK_SM
1504,P,BIO,G5,SMTA,LL,PS,21.0,21.0,2.16,1.76,IPK_M
1437,P,BIO,G3,SD,BPN,PSN,21.0,21.0,2.86,3.0,IPK_SM
780,L,MTK,G3,SRJN,GRD,PNS,21.0,18.0,2.33,2.17,IPK_SM
818,L,MTK,G4,SRJN,PNS,PNS,21.0,18.0,2.33,2.0,IPK_KM
1572,L,BIO,G4,SMTA,LL,PNS,21.0,21.0,2.76,2.81,IPK_M
1339,P,BIO,G3,SRJN,GRD,PSN,18.0,21.0,3.09,3.49,IPK_SM
852,P,MTK,G3,SMTA,PS,PS,21.0,18.0,2.86,2.94,IPK_SM
1064,P,MTK,G2,SMTA,BPN,BPN,21.0,19.0,2.57,2.58,IPK_SM
1509,P,BIO,G2,SD,PDG,PDG,21.0,21.0,2.62,2.24,IPK_SM
1717,P,BIO,G4,SMP,PDG,PDG,22.0,21.0,3.29,3.33,IPK_SM
747,L,MTK,G4,SMTA,GRD,GRD,21.0,18.0,3.21,3.03,IPK_SM
2071,P,IF,G3,SRJN,LL,PNS,20.0,20.0,3.1,3.3,IPK_CUM
1765,P,BIO,G4,SMTA,BPN,LL,22.0,21.0,2.91,3.0,IPK_CUM
1716,P,BIO,G3,SMP,PS,PDG,22.0,21.0,3.45,3.19,IPK_CUM
738,L,MTK,G3,LL,PDG,PNS,21.0,18.0,2.9,2.83,IPK_M
97,L,FISIKA,G2,SMP,LL,PSN,20.0,19.0,2.18,2.08,IPK_M
268,P,FISIKA,G3,SRJN,GRD,PSN,18.0,19.0,2.78,2.79,IPK_SM
292,P,FISIKA,G3,SD,PDG,PNS,18.0,19.0,2.33,2.42,IPK_M
1826,L,IF,G2,SMTA,PDG,PDG,19.0,18.0,3.16,2.89,IPK_SM
1310,L,BIO,G2,SMP,LL,LL,21.0,23.0,3.2,2.87,IPK_SM
293,L,FISIKA,G3,SMTA,LL,GRD,18.0,19.0,2.22,2.42,IPK_M
1727,P,BIO,G3,SRJN,LL,PDG,22.0,23.0,3.45,3.17,IPK_CUM
1536,P,BIO,G3,SMTA,PDG,GRD,21.0,23.0,3.81,3.78,IPK_CUM
1836,P,IF,G3,SRJN,PNS,LL,19.0,18.0,3.11,2.83,IPK_SM
458,P,FISIKA,G2,SRJN,GRD,GRD,19.0,22.0,3.0,3.23,IPK_SM
1573,P,BIO,G4,SMTA,LL,LL,21.0,21.0,2.1,2.9,IPK_M
961,P,MTK,G2,SMTA,LL,PS,21.0,18.0,3.24,3.67,IPK_SM
1930,L,IF,G4,SRJN,GRD,GRD,19.0,20.0,3.37,3.1,IPK_SM
755,P,MTK,G4,SMTA,LL,LL,21.0,18.0,2.43,2.72,IPK_SM
1985,L,IF,G3,SMP,PNS,GRD,19.0,20.0,3.11,3.15,IPK_SM
1902,L,IF,G3,SMTA,PS,PDG,19.0,18.0,3.26,3.67,IPK_CUM
1600,P,BIO,G4,SRJN,LL,LL,21.0,23.0,3.52,3.7,IPK_CUM
1622,P,BIO,G3,SRJN,PDG,PDG,21.0,21.0,2.95,2.81,IPK_SM
789,P,MTK,G4,SMTA,PNS,LL,21.0,18.0,2.95,2.83,IPK_SM
270,L,FISIKA,G4,SMTA,PDG,PS,18.0,19.0,2.39,2.0,IPK_KM
195,P,FISIKA,G1,SD,LL,LL,18.0,19.0,2.39,2.58,IPK_M
1171,L,MTK,G3,SD,PDG,BPN,21.0,19.0,2.71,2.63,IPK_SM
1004,L,MTK,G3,SRJN,LL,PSN,21.0,18.0,2.33,2.22,IPK_M
1434,L,BIO,G2,SD,BPN,BPN,21.0,21.0,2.62,2.81,IPK_SM
796,P,MTK,G1,SMTA,LL,PS,21.0,18.0,2.67,2.22,IPK_SM
908,P,MTK,G4,SMP,PDG,PDG,21.0,18.0,3.24,2.83,IPK_SM
1471,P,BIO,G2,SMTA,PDG,PDG,21.0,21.0,3.0,3.29,IPK_CUM
2061,L,IF,G5,SRJN,LL,PS,20.0,20.0,3.15,3.45,IPK_SM
1533,P,BIO,G5,SRJN,PDG,PNS,21.0,21.0,2.33,2.76,IPK_SM
297,P,FISIKA,G2,SD,LL,PDG,18.0,19.0,3.33,2.95,IPK_M
711,L,MTK,G1,SD,PDG,PDG,19.0,17.0,2.92,3.07,IPK_SM
2024,P,IF,G2,LL,LL,PS,20.0,20.0,3.25,3.2,IPK_SM
1839,L,IF,G5,SD,LL,BPN,19.0,18.0,2.68,2.67,IPK_SM
889,P,MTK,G3,SRJN,PNS,PSN,21.0,18.0,1.95,1.72,IPK_KM
817,L,MTK,G3,SRJN,LL,PDG,21.0,18.0,2.14,2.89,IPK_SM
2085,P,IF,G4,SMTA,LL,PS,20.0,20.0,3.1,3.55,IPK_SM
1513,P,BIO,G4,SRJN,PS,PS,21.0,21.0,2.86,2.71,IPK_SM
1166,P,MTK,G4,SMTA,LL,PS,21.0,19.0,3.24,3.0,IPK_SM
1391,P,BIO,G3,SRJN,GRD,LL,21.0,21.0,2.31,2.62,IPK_M
2074,L,IF,G3,SMTA,LL,BPN,20.0,20.0,2.85,2.95,IPK_SM
892,P,MTK,G3,SRJN,GRD,LL,21.0,18.0,2.95,2.67,IPK_SM
312,P,FISIKA,G3,SMTA,LL,PDG,20.0,21.0,2.75,2.9,IPK_SM
384,P,FISIKA,G4,SMTA,LL,PDG,20.0,20.0,2.75,2.85,IPK_SM
699,P,MTK,G3,SRJN,GRD,PS,19.0,17.0,1.6,2.05,IPK_M
909,P,MTK,G5,SRJN,GRD,GRD,21.0,18.0,2.95,2.67,IPK_M
363,L,FISIKA,G4,SMTA,PDG,GRD,20.0,20.0,2.75,2.4,IPK_M
1377,P,BIO,G2,SMTA,LL,PDG,21.0,21.0,2.68,3.05,IPK_SM
891,P,MTK,G2,SMP,BPN,BPN,21.0,18.0,3.33,2.67,IPK_SM
766,P,MTK,G2,SRJN,GRD,LL,15.0,18.0,2.48,2.21,IPK_M
299,P,FISIKA,G3,SRJN,PSN,PSN,18.0,19.0,2.83,3.0,IPK_M
1675,P,BIO,G3,LL,PDG,PS,21.0,21.0,3.05,2.57,IPK_SM
276,P,FISIKA,G2,LL,BPN,BPN,18.0,19.0,2.56,2.95,IPK_KM
1385,P,BIO,G2,SMP,BPN,BPN,21.0,21.0,3.29,3.05,IPK_SM
905,L,MTK,G4,SD,LL,GRD,21.0,18.0,2.67,2.22,IPK_KM
1313,P,BIO,G2,SMTA,PDG,GRD,21.0,21.0,2.83,3.11,IPK_SM
182,L,FISIKA,G3,SRJN,GRD,PSN,18.0,19.0,2.1,2.12,IPK_KM
389,P,FISIKA,G4,SRJN,GRD,GRD,20.0,24.0,3.75,3.71,IPK_CUM
177,P,FISIKA,G2,LL,PDG,PDG,18.0,19.0,1.9,2.27,IPK_KM
1667,P,BIO,G5,SRJN,PS,PSN,21.0,23.0,3.1,2.91,IPK_SM
707,P,MTK,G3,SMP,LL,PNS,19.0,17.0,3.23,3.21,IPK_SM
2012,L,IF,G2,SRJN,GRD,LL,20.0,20.0,3.45,3.25,IPK_CUM
1708,P,BIO,G1,LL,PDG,BPN,21.0,19.0,2.71,3.37,IPK_SM
1603,L,BIO,G4,SRJN,BPN,PNS,21.0,23.0,3.14,3.17,IPK_SM
1410,L,BIO,G3,SMTA,PNS,PNS,21.0,17.0,1.71,2.0,IPK_M
1984,P,IF,G4,SRJN,GRD,GRD,19.0,20.0,3.53,3.05,IPK_SM
1462,P,BIO,G3,SD,PDG,PDG,21.0,21.0,2.62,2.57,IPK_SM
2026,P,IF,G2,SMTA,BPN,PDG,20.0,20.0,3.45,3.25,IPK_SM
1899,P,IF,G4,SMTA,PS,PNS,19.0,18.0,2.37,2.67,IPK_M
1962,L,IF,G3,SRJN,GRD,GRD,19.0,20.0,3.42,3.9,IPK_CUM
1441,P,BIO,G1,SRJN,GRD,BPN,21.0,21.0,2.33,3.0,IPK_SM
1124,P,MTK,G4,SMTA,PDG,PDG,21.0,19.0,3.24,2.95,IPK_SM
348,L,FISIKA,G3,SMTA,LL,LL,20.0,20.0,2.85,2.75,IPK_SM
2025,P,IF,G3,SMTA,PNS,PSN,20.0,20.0,3.3,3.0,IPK_SM
394,P,FISIKA,G2,SMTA,PDG,PDG,20.0,24.0,3.55,3.88,IPK_CUM
77,P,FISIKA,G3,SMTA,LL,GRD,19.0,19.0,2.54,2.97,IPK_SM
1452,P,BIO,G3,SRJN,GRD,GRD,21.0,21.0,2.43,2.71,IPK_SM
1423,P,BIO,G4,SRJN,GRD,GRD,21.0,21.0,3.14,3.38,IPK_CUM
232,L,FISIKA,G4,SRJN,GRD,LL,18.0,19.0,3.28,3.58,IPK_SM
1270,P,BIO,G3,SMTA,LL,PNS,24.0,24.0,3.56,3.8,IPK_SM
305,L,FISIKA,G3,SMTA,LL,LL,20.0,21.0,2.65,3.76,IPK_SM
1089,L,MTK,G5,SRJN,PNS,GRD,21.0,19.0,2.76,2.47,IPK_SM
876,L,MTK,G3,SMTA,PDG,BPN,21.0,18.0,2.38,1.89,IPK_KM
290,L,FISIKA,G3,SMTA,PDG,PDG,18.0,19.0,2.78,2.68,IPK_M
2083,P,IF,G5,SMTA,LL,PDG,20.0,20.0,2.65,2.8,IPK_SM
734,P,MTK,G2,SD,PS,PS,21.0,18.0,3.41,3.24,IPK_SM
872,L,MTK,G4,SMTA,LL,PNS,21.0,18.0,1.95,1.89,IPK_KM
1505,L,BIO,G2,SMTA,LL,PNS,21.0,21.0,2.1,2.19,IPK_SM
1326,P,BIO,G2,SMP,LL,PS,21.0,23.0,3.41,3.4,IPK_SM
921,P,MTK,G3,SRJN,PDG,PNS,21.0,18.0,2.81,2.56,IPK_M
1999,P,IF,G4,SRJN,GRD,GRD,19.0,20.0,3.68,3.5,IPK_SM
902,P,MTK,G4,SMTA,PNS,PDG,21.0,18.0,2.95,2.89,IPK_SM
703,L,MTK,G3,SD,LL,GRD,19.0,17.0,2.72,3.11,IPK_SM
1378,P,BIO,G3,SMP,PDG,PDG,21.0,21.0,2.95,3.14,IPK_CUM
2062,L,IF,G4,SRJN,GRD,GRD,20.0,20.0,3.6,3.5,IPK_CUM
144,P,FISIKA,G3,LL,LL,PSN,18.0,19.0,3.07,3.17,IPK_SM
1447,P,BIO,G2,SMTA,LL,LL,21.0,21.0,3.24,3.62,IPK_CUM
234,P,FISIKA,G3,SRJN,GRD,GRD,18.0,19.0,3.83,3.37,IPK_CUM
1367,P,BIO,G2,SRJN,GRD,GRD,21.0,21.0,2.71,2.71,IPK_M
784,P,MTK,G3,SMTA,LL,PNS,21.0,18.0,2.81,2.56,IPK_SM
338,P,FISIKA,G3,SMTA,PS,PDG,20.0,21.0,2.75,2.86,IPK_SM
973,L,MTK,G1,SD,BPN,BPN,18.0,18.0,1.61,0.72,IPK_M
1896,L,IF,G4,SRJN,LL,GRD,19.0,18.0,3.26,3.5,IPK_SM
1338,P,BIO,G1,SMTA,GRD,GRD,21.0,21.0,2.7,2.59,IPK_SM
1014,P,MTK,G1,LL,BPN,BPN,21.0,18.0,2.71,2.78,IPK_SM
156,L,FISIKA,G2,SMP,LL,GRD,18.0,21.0,2.23,2.5,IPK_M
1686,P,BIO,G5,SRJN,GRD,PS,21.0,19.0,2.81,3.32,IPK_SM
1128,P,MTK,G3,SRJN,GRD,LL,21.0,19.0,3.14,2.63,IPK_SM
744,P,MTK,G2,SMTA,LL,PDG,21.0,18.0,2.61,3.04,IPK_SM
362,P,FISIKA,G3,SMTA,LL,PS,20.0,20.0,2.95,2.0,IPK_SM
1632,P,BIO,G2,SMTA,BPN,BPN,21.0,23.0,3.52,3.3,IPK_SM
1843,P,IF,G3,SMTA,LL,PS,19.0,18.0,2.95,3.17,IPK_SM
1908,P,IF,G2,SD,LL,PNS,19.0,18.0,2.95,3.5,IPK_SM
1931,L,IF,G3,SRJN,GRD,PDG,19.0,20.0,2.47,2.7,IPK_SM
1848,P,IF,G3,SMTA,LL,GRD,19.0,18.0,2.95,3.44,IPK_SM
1655,L,BIO,G2,SD,PDG,PDG,21.0,19.0,2.86,3.53,IPK_SM
109,L,FISIKA,G2,SD,BPN,BPN,18.0,19.0,2.92,2.66,IPK_SM
1766,P,BIO,G2,LL,LL,BPN,22.0,21.0,3.09,3.33,IPK_CUM
830,L,MTK,G3,SMTA,LL,PSN,21.0,18.0,2.33,2.17,IPK_KM
336,L,FISIKA,G4,SMTA,PDG,PNS,20.0,21.0,2.75,2.86,IPK_SM
1967,P,IF,G3,SRJN,GRD,GRD,19.0,20.0,2.95,3.2,IPK_SM
