,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,STATUS_LULUS
6064,P,HUK,G5,SRJN,LL,PNS,2.5,2.72,LLW
5846,L,HUK,G5,SMTA,LL,PDG,2.6,2.05,LLW
2028,L,EKO,G5,SRJN,LL,PNS,3.0,2.21,LLW
3031,L,KOM,G4,SMTA,PDG,PDG,3.14,2.65,LLW
5939,P,HUK,G4,SMTA,LL,PSN,1.7,2.81,LLW
3164,P,KOM,G5,SMTA,PS,PNS,3.27,3.32,LLW
6252,P,HUK,G5,SRJN,PNS,PNS,2.4,3.15,LLW
3362,P,KOM,G4,SRJN,LL,GRD,3.27,3.09,LLW
5455,L,HUK,G4,SMTA,LL,PNS,2.2,2.39,LLW
6318,P,HUK,G2,SMP,LL,PSN,3.7,3.42,LLW
3095,L,KOM,G2,SRJN,GRD,LL,3.55,3.5,LLW
6057,P,HUK,G3,SMTA,PNS,PNS,2.1,2.95,LLW
5504,L,HUK,G3,LL,PDG,PDG,1.8,2.31,LLW
1007,L,AKU,G2,SMTA,LL,BPN,3.19,3.22,LLW
720,L,AKU,G3,SMTA,PS,PDG,3.08,3.0,LLW
3363,L,KOM,G4,SRJN,GRD,PDG,3.41,3.09,LLW
907,L,AKU,G3,SRJN,GRD,BPN,3.38,3.26,LLW
3307,L,KOM,G4,SRJN,LL,PS,3.32,2.91,LLW
769,L,AKU,G5,SRJN,PNS,PNS,2.92,2.43,LLW
3392,P,KOM,G3,SMTA,LL,PS,3.5,3.5,LLW
2263,P,EKO,G3,SMTA,LL,PSN,3.73,3.83,LLW
5967,P,HUK,G5,SMTA,LL,PNS,2.4,2.55,LLW
2207,L,EKO,G6,SRJN,GRD,PS,3.04,2.92,LLW
3054,P,KOM,G1,SMTA,LL,BPN,3.52,3.65,LLW
2187,P,EKO,G7,SRJN,LL,PS,3.5,3.46,LLW
6263,P,HUK,G5,SMTA,LL,PNS,3.7,3.27,LLW
5925,P,HUK,G5,SMTA,LL,LL,3.7,3.41,LTW
5601,L,HUK,G3,SRJN,GRD,PNS,2.5,3.1,LTW
1102,P,AKU,G4,SMTA,LL,LL,3.73,3.5,LTW
5670,P,HUK,G2,SRJN,GRD,PNS,2.8,3.4,LTW
2209,P,EKO,G5,SMTA,LL,PNS,3.92,3.54,LTW
2092,P,EKO,G5,SRJN,ABRI,PDG,3.21,3.67,LTW
834,P,AKU,G5,SMTA,LL,PS,3.46,3.35,LTW
2288,P,EKO,G4,SRJN,GRD,PNS,3.77,3.58,LTW
995,L,AKU,G4,SRJN,GRD,GRD,3.19,3.78,LTW
1089,P,AKU,G7,SRJN,PS,PDG,3.27,3.64,LTW
6337,L,HUK,G4,SMP,LL,GRD,3.1,3.09,LTW
1961,L,EKO,G4,SRJN,PNS,PS,2.92,3.29,LTW
5502,L,HUK,G3,SRJN,GRD,PNS,3.1,3.32,LTW
2239,P,EKO,G3,SMTA,GRD,PDG,3.18,3.86,LTW
5727,P,HUK,G4,SRJN,PDG,PDG,2.3,2.85,LTW
2282,P,EKO,G3,SMTA,PDG,PDG,3.77,3.67,LTW
5794,P,HUK,G4,SMTA,LL,ABRI,2.6,3.05,LTW
5559,P,HUK,G4,SRJN,PNS,PNS,2.8,2.95,LTW
1147,L,AKU,G3,SMTA,LL,PDG,3.05,3.48,LTW
5985,P,HUK,G3,SRJN,LL,PNS,2.5,2.35,LTW
2144,L,EKO,G2,SMP,LL,PSN,3.42,3.71,LTW
726,L,AKU,G3,SMP,PDG,PDG,3.54,3.5,LTW
2276,P,EKO,G4,SMTA,PDG,PNS,3.09,3.71,LTW
5525,L,HUK,G3,SMTA,LL,ABRI,2.5,2.8,LTW
962,L,AKU,G4,SMTA,LL,PDG,3.48,3.22,LTW
2093,L,EKO,G4,SMTA,PS,PS,3.21,3.42,LTW
2225,P,EKO,G4,SMTA,LL,PS,3.5,3.58,LTW
2277,L,EKO,G3,SRJN,GRD,PNS,2.55,3.15,LTW
6225,L,HUK,G3,SMTA,PDG,PDG,2.4,3.0,LTW
5648,L,HUK,G4,SRJN,PNS,PNS,2.9,3.1,LTW
2157,P,EKO,G3,SMTA,PDG,PNS,3.58,3.42,LTW
1051,L,AKU,G3,SRJN,GRD,PNS,3.48,3.78,LTW
5164,P,HUK,G4,SMTA,LL,PSN,3.35,3.54,LTW
5704,P,HUK,G3,SMTA,PNS,PNS,3.0,3.14,LTW
2308,L,EKO,G7,SMTA,LL,PS,3.14,2.96,LTW
6094,P,HUK,G4,SRJN,LL,PS,2.3,3.25,LTW
6386,P,HUK,G3,SRJN,LL,PNS,3.0,2.91,LTW
859,P,AKU,G4,SRJN,GRD,LL,3.54,3.35,LTW
936,P,AKU,G5,SRJN,GRD,PSN,3.62,3.46,LTW
5850,P,HUK,G4,SRJN,LL,PDG,3.9,3.46,LTW
934,L,AKU,G5,SRJN,GRD,GRD,3.24,3.58,LTW
714,P,AKU,G3,SMTA,PNS,LL,3.46,3.67,LTW
6372,L,HUK,G6,SRJN,PDG,PDG,3.8,3.17,LTW
5896,L,HUK,G6,SRJN,GRD,GRD,3.6,3.3,LTW
2269,L,EKO,G3,SRJN,PDG,PS,2.86,3.12,LTW
864,P,AKU,G4,SMP,PDG,PDG,3.38,3.71,LTW
691,P,AKU,G4,SRJN,GRD,PNS,3.29,3.24,LTW
5984,P,HUK,G3,SD,PDG,ABRI,3.2,3.62,LTW
1153,P,AKU,G4,LL,PNS,PNS,3.59,3.29,LTW
5571,P,HUK,G4,SMTA,LL,PNS,3.7,3.38,LTW
1974,P,EKO,G3,SRJN,LL,PS,3.5,3.46,LTW
5388,P,HUK,G3,SRJN,GRD,LL,3.5,3.5,LTW
6322,P,HUK,G4,SMTA,LL,PSN,3.1,3.27,LTW
828,P,AKU,G4,SMTA,PDG,PS,3.0,3.19,LTW
959,L,AKU,G3,SMTA,LL,PNS,3.62,3.7,LTW
6294,L,HUK,G4,SMTA,PS,PS,2.8,2.9,LTW
6099,P,HUK,G4,SRJN,PNS,PS,3.1,3.23,LTW
2295,P,EKO,G4,SRJN,GRD,LL,2.95,3.3,LTW
6298,P,HUK,G3,SRJN,PDG,GRD,3.4,3.73,LTW
2162,P,EKO,G3,SD,LL,BPN,3.67,3.5,LTW
1966,P,EKO,G2,SRJN,PNS,PNS,3.0,3.46,LTW
1006,L,AKU,G4,SRJN,GRD,GRD,3.86,3.91,LTW
5835,L,HUK,G3,SMTA,LL,ABRI,3.5,3.42,LTW
1135,P,AKU,G4,SRJN,GRD,PDG,3.09,3.0,LTW
1842,P,EKO,G3,SD,PDG,PDG,3.5,3.33,LTW
2101,P,EKO,G4,SMTA,LL,PS,3.75,3.42,LTW
1012,P,AKU,G1,SD,BPN,BPN,3.62,3.91,LTW
5421,L,HUK,G3,SRJN,GRD,GRD,3.4,3.41,LTW
6385,P,HUK,G3,SRJN,PDG,PDG,3.6,3.55,LTW
999,P,AKU,G4,SMTA,LL,LL,3.14,3.57,LTW
997,L,AKU,G4,SRJN,LL,PS,3.76,3.17,LTW
2245,P,EKO,G4,SMTA,LL,PS,3.32,3.67,LTW
5639,L,HUK,G3,SMTA,PDG,PDG,3.2,3.09,LTW
5597,L,HUK,G4,SMTA,LL,GRD,3.0,3.18,LTW
5575,P,HUK,G2,SMTA,LL,PDG,3.1,3.0,LTW
5829,L,HUK,G1,SMP,LL,PSN,3.0,3.05,LTW
6121,P,HUK,G4,SMTA,PNS,LL,2.8,2.8,LTW
868,P,AKU,G4,SRJN,GRD,PNS,3.42,3.04,LTW
2124,P,EKO,G5,SRJN,GRD,PS,3.5,3.17,LTW
5405,P,HUK,G4,SMTA,LL,PNS,2.8,2.7,LTW
1191,P,AKU,G7,SRJN,PS,PS,3.18,3.54,LTW
5145,P,HUK,G1,SMP,LL,PDG,2.65,3.4,LTW
1064,P,AKU,G4,SRJN,PDG,PNS,3.24,3.83,LTW
6373,L,HUK,G3,SMTA,LL,PNS,3.0,2.7,LTW
945,L,AKU,G3,SRJN,PDG,ABRI,3.52,3.46,LTW
1164,P,AKU,G4,SRJN,LL,PS,3.59,3.5,LTW
1108,L,AKU,G3,SRJN,LL,PS,3.36,3.91,LTW
1150,L,AKU,G4,SRJN,GRD,PSN,3.05,2.55,LTW
2072,L,EKO,G3,SMTA,BPN,BPN,3.54,3.21,LTW
2042,P,EKO,G2,SMP,BPN,BPN,2.96,2.76,LTW
6051,P,HUK,G2,SMTA,PS,PS,3.1,3.15,LTW
2105,L,EKO,G4,SRJN,LL,GRD,3.54,3.54,LTW
1098,P,AKU,G3,SRJN,LL,LL,3.09,3.46,LTW
6379,P,HUK,G5,SRJN,GRD,ABRI,3.5,3.59,LTW
2257,P,EKO,G5,SMTA,LL,PNS,3.23,3.83,LTW
6280,P,HUK,G2,SMTA,BPN,LL,3.5,3.68,LTW
2230,L,EKO,G3,SRJN,GRD,PSN,3.0,3.62,LTW
3466,P,KOM,G4,SMTA,LL,BPN,3.59,3.55,LTW
2176,P,EKO,G2,SMTA,LL,PS,3.33,3.17,LTW
886,P,AKU,G2,SMP,PDG,LL,3.29,3.0,LTW
6305,P,HUK,G3,SRJN,GRD,PNS,3.4,3.32,LTW
1074,P,AKU,G2,SMP,LL,BPN,3.76,3.78,LTW
1958,P,EKO,G4,SMTA,LL,ABRI,3.62,3.21,LTW
5770,L,HUK,G3,SRJN,PNS,BPN,2.9,3.05,LTW
5815,P,HUK,G1,SMTA,BPN,BPN,3.8,2.96,LTW
2152,L,EKO,G4,SMTA,PDG,PS,3.62,3.92,LTW
5591,P,HUK,G4,SMTA,LL,PS,4.0,3.54,LTW
5627,L,HUK,G4,SMP,PDG,PNS,2.3,2.85,LTW
1171,P,AKU,G2,SD,PDG,PDG,3.73,3.77,LTW
3218,P,KOM,G4,SRJN,GRD,PNS,2.95,3.35,LTW
6077,P,HUK,G2,LL,PDG,PDG,3.5,3.46,LTW
5558,P,HUK,G2,SMP,PDG,PDG,4.0,3.54,LTW
6328,P,HUK,G1,SD,BPN,BPN,3.1,3.18,LTW
3249,L,KOM,G3,SRJN,LL,PNS,3.18,3.59,LTW
2108,P,EKO,G4,SRJN,LL,PDG,3.21,3.12,LTW
2291,P,EKO,G2,SD,LL,PS,3.77,3.83,LTW
6383,P,HUK,G4,SRJN,LL,PNS,3.2,3.0,LTW
5887,P,HUK,G4,SD,LL,PDG,3.1,3.36,LTW
5549,P,HUK,G3,SMTA,PDG,PS,2.8,3.4,LTW
3388,P,KOM,G4,SRJN,PNS,PNS,3.41,3.45,LTW
796,P,AKU,G5,SRJN,GRD,GRD,3.79,3.35,LTW
1181,L,AKU,G7,SMTA,LL,PS,3.59,3.23,LTW
6042,L,HUK,G2,SMTA,PSN,LL,2.6,2.75,LTW
783,P,AKU,G3,SRJN,GRD,GRD,3.08,3.09,LTW
1178,P,AKU,G4,SRJN,PSN,PSN,3.36,3.23,LTW
2117,P,EKO,G4,SMTA,LL,PDG,3.75,3.62,LTW
1809,L,EKO,G3,SMTA,BPN,PS,2.75,2.85,LTW
2306,P,EKO,G3,SMP,LL,PS,3.09,3.54,LTW
5607,P,HUK,G4,SMTA,LL,PDG,2.5,2.3,LTW
2303,L,EKO,G2,SMTA,BPN,BPN,3.36,3.33,LTW
6357,L,HUK,G3,SMTA,PS,PDG,3.1,3.46,LTW
778,P,AKU,G5,SMTA,LL,PNS,3.75,3.87,LTW
5886,P,HUK,G4,SRJN,GRD,GRD,3.1,3.41,LTW
6184,L,HUK,G1,SRJN,LL,LL,3.1,2.92,LTW
2274,P,EKO,G3,SRJN,PS,PS,3.36,3.92,LTW
5536,L,HUK,G2,SMTA,LL,PDG,3.0,3.1,LTW
5664,P,HUK,G4,SRJN,GRD,PDG,2.8,3.1,LTW
5790,P,HUK,G5,SMTA,PNS,PNS,3.1,3.3,LTW
5936,L,HUK,G4,SMTA,LL,PSN,2.8,2.7,LTW
6267,P,HUK,G3,SMTA,LL,PDG,3.8,3.27,LTW
788,L,AKU,G4,SMTA,LL,PNS,3.21,2.74,LTW
1992,P,EKO,G4,SD,PDG,PDG,2.75,3.33,LTW
3276,L,KOM,G4,SRJN,LL,LL,3.23,3.14,LTW
2136,P,EKO,G3,SMTA,LL,PSN,3.67,3.58,LTW
6244,L,HUK,G4,SRJN,GRD,GRD,3.4,3.27,LTW
5782,L,HUK,G4,SRJN,PNS,PNS,3.1,2.45,LTW
949,P,AKU,G5,SRJN,PNS,ABRI,3.76,3.52,LTW
1029,P,AKU,G3,SD,BPN,BPN,3.19,3.7,LTW
5878,P,HUK,G4,SMTA,LL,PSN,2.8,2.9,LTW
6135,P,HUK,G3,SMP,PDG,PSN,3.6,3.21,LTW
5922,P,HUK,G5,SMTA,PNS,PNS,3.2,3.14,LTW
6143,P,HUK,G3,SRJN,PS,PS,3.4,3.09,LTW
6349,P,HUK,G4,SMTA,GRD,GRD,2.7,2.65,LTW
5740,P,HUK,G4,SMP,LL,PSN,2.7,2.5,LTW
2079,P,EKO,G4,SRJN,GRD,PS,3.71,3.88,LTW
1076,L,AKU,G2,SMTA,PDG,PDG,3.86,3.78,LTW
1083,L,AKU,G7,SRJN,GRD,PS,3.45,3.73,LTW
3311,P,KOM,G4,SD,LL,PDG,3.5,3.09,LTW
2069,L,EKO,G3,SMTA,LL,PDG,3.33,3.46,LTW
1975,P,EKO,G2,SMTA,LL,PDG,3.54,3.54,LTW
5737,P,HUK,G3,SMTA,PDG,LL,2.5,3.1,LTW
904,L,AKU,G3,SRJN,GRD,GRD,3.76,3.5,LTW
2127,P,EKO,G4,SMTA,PS,PDG,3.54,3.83,LTW
1211,P,AKU,G4,SMTA,PS,PDG,4.0,3.77,LTW
707,P,AKU,G3,SMP,PDG,PDG,3.46,3.38,LTW
956,P,AKU,G4,SMTA,PS,PNS,3.19,3.22,LTW
855,P,AKU,G3,SMTA,LL,PDG,3.75,3.58,LTW
5160,P,HUK,G2,SD,BPN,BPN,3.75,3.75,LTW
5976,L,HUK,G4,SMTA,LL,PNS,2.8,3.0,LTW
5460,P,HUK,G3,SMTA,LL,PSN,2.9,3.15,LTW
968,L,AKU,G1,SMTA,PDG,LL,3.62,3.58,LTW
1027,L,AKU,G4,SRJN,GRD,PNS,3.1,3.65,LTW
5546,L,HUK,G4,SRJN,PDG,GRD,2.6,2.6,LTW
2133,P,EKO,G4,SRJN,GRD,PSN,3.54,3.21,LTW
1196,P,AKU,G1,SD,LL,LL,3.59,3.61,LTW
1092,L,AKU,G4,SMTA,PSN,PSN,3.59,3.48,LTW
5418,P,HUK,G3,SRJN,LL,PNS,2.6,3.15,LTW
1996,P,EKO,G2,SD,BPN,BPN,3.12,3.5,LTW
2240,P,EKO,G7,SRJN,GRD,GRD,3.09,3.7,LTW
3431,P,KOM,G4,SRJN,LL,GRD,2.95,2.85,LTW
2205,P,EKO,G5,SRJN,GRD,GRD,3.38,3.25,LTW
2174,P,EKO,G4,SMTA,LL,PNS,3.54,3.58,LTW
5661,P,HUK,G4,SMTA,PDG,PNS,2.3,2.9,LTW
6361,P,HUK,G2,SRJN,PS,LL,3.5,3.41,LTW
946,P,AKU,G6,SRJN,PNS,PNS,3.33,3.67,LTW
5509,P,HUK,G4,SMTA,PDG,PDG,3.3,3.42,LTW
2057,L,EKO,G3,SMTA,LL,PSN,3.33,3.33,LTW
5386,P,HUK,G3,SMTA,PDG,LL,2.4,2.39,LTW
5847,L,HUK,G4,SMTA,PNS,PDG,2.6,2.95,LTW
2299,P,EKO,G3,SD,LL,PDG,3.36,3.79,LTW
3433,L,KOM,G7,SRJN,LL,PDG,4.0,3.68,LTW
6218,P,HUK,G3,SMTA,LL,GRD,3.5,3.55,LTW
1867,P,EKO,G2,SRJN,PNS,LL,3.46,3.46,LTW
1016,P,AKU,G5,SRJN,PNS,GRD,3.67,3.57,LTW
1959,P,EKO,G2,SMTA,PS,LL,2.67,2.9,LTW
5537,L,HUK,G3,SRJN,LL,GRD,2.8,3.25,LTW
1077,L,AKU,G5,SRJN,GRD,PSN,2.95,3.4,LTW
1069,P,AKU,G4,SMP,PDG,PDG,3.62,3.78,LTW
2078,L,EKO,G3,SRJN,LL,PS,3.21,2.96,LTW
5576,P,HUK,G3,SMTA,LL,PNS,3.1,2.92,LTW
2251,P,EKO,G4,SRJN,LL,PNS,3.23,3.79,LTW
735,P,AKU,G4,SMTA,LL,PS,3.54,4.0,LTW
662,L,AKU,G2,SMTA,LL,PS,3.46,3.43,LTW
6196,P,HUK,G4,SRJN,LL,PSN,3.5,3.55,LTW
2275,P,EKO,G2,SMP,BPN,BPN,3.64,4.0,LTW
2206,L,EKO,G3,SMTA,LL,PNS,2.96,3.12,LTW
1820,L,EKO,G3,SMTA,LL,PS,2.62,2.81,LTW
2082,P,EKO,G4,SRJN,LL,PS,3.54,3.67,LTW
1019,L,AKU,G7,SRJN,LL,LL,3.67,3.91,LTW
1783,P,EKO,G3,SMTA,LL,PNS,3.33,3.12,LTW
2302,P,EKO,G4,SRJN,GRD,GRD,3.23,3.79,LTW
1124,P,AKU,G4,SRJN,GRD,LL,2.77,2.7,LTW
2034,P,EKO,G3,SMP,LL,PSN,3.21,3.38,LTW
5125,P,HUK,G2,SMTA,PS,PS,3.38,3.0,LTW
6363,P,HUK,G3,SRJN,PNS,PNS,3.2,3.05,LTW
2100,P,EKO,G2,SD,LL,PDG,3.33,3.21,LTW
1200,P,AKU,G3,SMTA,LL,PS,3.86,3.73,LTW
5121,P,HUK,G4,SMTA,LL,PNS,2.67,3.5,LTW
2249,P,EKO,G3,SRJN,LL,PS,3.68,3.77,LTW
5646,L,HUK,G4,SRJN,PS,PNS,3.3,3.36,LTW
1015,P,AKU,G4,SRJN,LL,ABRI,3.62,3.91,LTW
1170,P,AKU,G6,SRJN,LL,PS,3.23,3.5,LTW
6310,P,HUK,G4,SRJN,GRD,GRD,3.7,3.79,LTW
1972,P,EKO,G3,SRJN,GRD,GRD,3.5,3.42,LTW
6000,P,HUK,G4,SMP,LL,PDG,2.6,2.9,LTW
1156,L,AKU,G7,SRJN,PS,LL,3.09,2.95,LTW
5857,P,HUK,G4,SMTA,PNS,PSN,2.4,2.9,LTW
2259,P,EKO,G1,LL,BPN,PDG,3.05,3.59,LTW
874,P,AKU,G4,SRJN,PNS,PDG,3.88,3.74,LTW
5156,L,HUK,G3,SRJN,GRD,GRD,2.62,3.4,LTW
2128,L,EKO,G7,SMTA,PS,PS,3.33,3.71,LTW
5783,P,HUK,G4,SRJN,PNS,PNS,3.2,3.14,LTW
5780,P,HUK,G4,SMTA,LL,PNS,2.8,2.5,LTW
1045,P,AKU,G4,SMP,PDG,PSN,3.48,3.26,LTW
790,P,AKU,G5,SRJN,PDG,GRD,3.33,3.76,LTW
922,P,AKU,G2,SMP,BPN,BPN,3.57,3.91,LTW
747,P,AKU,G4,SRJN,GRD,PNS,3.42,3.25,LTW
5170,P,HUK,G2,SMTA,LL,PSN,2.75,3.15,LTW
2029,L,EKO,G1,SD,BPN,BPN,3.54,3.71,LTW
804,L,AKU,G4,SRJN,PDG,PNS,3.38,3.71,LTW
5447,P,HUK,G4,SRJN,PSN,GRD,2.7,3.05,LTW
877,P,AKU,G3,SRJN,PNS,GRD,3.42,3.58,LTW
2166,P,EKO,G4,SRJN,PS,PS,3.33,3.25,LC
2317,P,EKO,G4,SRJN,PNS,PS,3.09,3.25,LC
789,P,AKU,G4,SMTA,LL,LL,3.75,3.08,LC
3360,P,KOM,G4,SMTA,PNS,LL,3.77,3.55,LC
1818,L,EKO,G3,SMTA,LL,PNS,2.83,3.19,LC
6031,P,HUK,G4,SRJN,PDG,PSN,3.5,3.54,LC
3453,L,KOM,G4,SMTA,LL,PS,3.14,3.05,LC
2120,P,EKO,G4,SRJN,GRD,PNS,3.42,3.54,LC
5921,P,HUK,G3,SRJN,LL,PNS,3.4,3.32,LC
1824,P,EKO,G2,SD,BPN,BPN,3.25,3.42,LC
5914,P,HUK,G5,SMTA,PDG,PNS,3.4,2.65,LC
2323,P,EKO,G4,SMTA,LL,PNS,3.0,2.79,LC
702,P,AKU,G4,SMTA,PNS,PNS,3.71,3.35,LC
6097,P,HUK,G3,SRJN,PDG,PDG,3.2,2.91,LC
3361,P,KOM,G2,SMTA,LL,LL,3.36,3.68,LC
